variable,activitytype,subjectid,average
fBodyAcc-mean()-X,LAYING,1,-0.9390990524
fBodyAcc-mean()-X,LAYING,2,-0.976725059791667
fBodyAcc-mean()-X,LAYING,3,-0.980665609032258
fBodyAcc-mean()-X,LAYING,4,-0.958802077592593
fBodyAcc-mean()-X,LAYING,5,-0.968741678461538
fBodyAcc-mean()-X,LAYING,6,-0.939114254210526
fBodyAcc-mean()-X,LAYING,7,-0.953424245576923
fBodyAcc-mean()-X,LAYING,8,-0.953538563888889
fBodyAcc-mean()-X,LAYING,9,-0.946865494
fBodyAcc-mean()-X,LAYING,10,-0.96918420862069
fBodyAcc-mean()-X,LAYING,11,-0.983801365614035
fBodyAcc-mean()-X,LAYING,12,-0.956248487666667
fBodyAcc-mean()-X,LAYING,13,-0.974716920483871
fBodyAcc-mean()-X,LAYING,14,-0.933936178235294
fBodyAcc-mean()-X,LAYING,15,-0.974016176527778
fBodyAcc-mean()-X,LAYING,16,-0.980213187428572
fBodyAcc-mean()-X,LAYING,17,-0.974359280140845
fBodyAcc-mean()-X,LAYING,18,-0.985179972153846
fBodyAcc-mean()-X,LAYING,19,-0.97453373
fBodyAcc-mean()-X,LAYING,20,-0.965728781617647
fBodyAcc-mean()-X,LAYING,21,-0.968234375555556
fBodyAcc-mean()-X,LAYING,22,-0.953758542777778
fBodyAcc-mean()-X,LAYING,23,-0.970037238333333
fBodyAcc-mean()-X,LAYING,24,-0.975893687083333
fBodyAcc-mean()-X,LAYING,25,-0.929147371232877
fBodyAcc-mean()-X,LAYING,26,-0.973262289210526
fBodyAcc-mean()-X,LAYING,27,-0.980631846891892
fBodyAcc-mean()-X,LAYING,28,-0.9739308675
fBodyAcc-mean()-X,LAYING,29,-0.986626999275362
fBodyAcc-mean()-X,LAYING,30,-0.974789999285714
fBodyAcc-mean()-X,SITTING,1,-0.979641238723404
fBodyAcc-mean()-X,SITTING,2,-0.985803840652174
fBodyAcc-mean()-X,SITTING,3,-0.970154440961539
fBodyAcc-mean()-X,SITTING,4,-0.9774624984
fBodyAcc-mean()-X,SITTING,5,-0.977450812045454
fBodyAcc-mean()-X,SITTING,6,-0.975351454727273
fBodyAcc-mean()-X,SITTING,7,-0.972697126875
fBodyAcc-mean()-X,SITTING,8,-0.981142909782609
fBodyAcc-mean()-X,SITTING,9,-0.959413594
fBodyAcc-mean()-X,SITTING,10,-0.984943144259259
fBodyAcc-mean()-X,SITTING,11,-0.981481454339623
fBodyAcc-mean()-X,SITTING,12,-0.97966614372549
fBodyAcc-mean()-X,SITTING,13,-0.990135477755102
fBodyAcc-mean()-X,SITTING,14,-0.976456609259259
fBodyAcc-mean()-X,SITTING,15,-0.986619609491525
fBodyAcc-mean()-X,SITTING,16,-0.987043828985507
fBodyAcc-mean()-X,SITTING,17,-0.9939693815625
fBodyAcc-mean()-X,SITTING,18,-0.993144920175439
fBodyAcc-mean()-X,SITTING,19,-0.979238031780822
fBodyAcc-mean()-X,SITTING,20,-0.981203064242424
fBodyAcc-mean()-X,SITTING,21,-0.990610228
fBodyAcc-mean()-X,SITTING,22,-0.978505368225806
fBodyAcc-mean()-X,SITTING,23,-0.986325670882353
fBodyAcc-mean()-X,SITTING,24,-0.989529506764706
fBodyAcc-mean()-X,SITTING,25,-0.991405498153846
fBodyAcc-mean()-X,SITTING,26,-0.982579546025641
fBodyAcc-mean()-X,SITTING,27,-0.988682108428571
fBodyAcc-mean()-X,SITTING,28,-0.979820142638889
fBodyAcc-mean()-X,SITTING,29,-0.991093963666667
fBodyAcc-mean()-X,SITTING,30,-0.985008785
fBodyAcc-mean()-X,STANDING,1,-0.995249932641509
fBodyAcc-mean()-X,STANDING,2,-0.983946739814815
fBodyAcc-mean()-X,STANDING,3,-0.960123409508197
fBodyAcc-mean()-X,STANDING,4,-0.973497549642857
fBodyAcc-mean()-X,STANDING,5,-0.964500917321429
fBodyAcc-mean()-X,STANDING,6,-0.977100287368421
fBodyAcc-mean()-X,STANDING,7,-0.976681834339623
fBodyAcc-mean()-X,STANDING,8,-0.988219862222222
fBodyAcc-mean()-X,STANDING,9,-0.971662692
fBodyAcc-mean()-X,STANDING,10,-0.970099814318182
fBodyAcc-mean()-X,STANDING,11,-0.993808050638298
fBodyAcc-mean()-X,STANDING,12,-0.976469472295082
fBodyAcc-mean()-X,STANDING,13,-0.989425965614035
fBodyAcc-mean()-X,STANDING,14,-0.9726995625
fBodyAcc-mean()-X,STANDING,15,-0.986724998867924
fBodyAcc-mean()-X,STANDING,16,-0.989427670897436
fBodyAcc-mean()-X,STANDING,17,-0.990927533846154
fBodyAcc-mean()-X,STANDING,18,-0.990409919315069
fBodyAcc-mean()-X,STANDING,19,-0.987352048356165
fBodyAcc-mean()-X,STANDING,20,-0.96193272890411
fBodyAcc-mean()-X,STANDING,21,-0.978327686179775
fBodyAcc-mean()-X,STANDING,22,-0.980373909206349
fBodyAcc-mean()-X,STANDING,23,-0.983627197058824
fBodyAcc-mean()-X,STANDING,24,-0.984183633623188
fBodyAcc-mean()-X,STANDING,25,-0.990093202837838
fBodyAcc-mean()-X,STANDING,26,-0.991993372297297
fBodyAcc-mean()-X,STANDING,27,-0.99012181225
fBodyAcc-mean()-X,STANDING,28,-0.97251980164557
fBodyAcc-mean()-X,STANDING,29,-0.995024039692308
fBodyAcc-mean()-X,STANDING,30,-0.972014050847458
fBodyAcc-mean()-X,WALKING,1,-0.202794306326316
fBodyAcc-mean()-X,WALKING,2,-0.346048161016949
fBodyAcc-mean()-X,WALKING,3,-0.316614011689655
fBodyAcc-mean()-X,WALKING,4,-0.426719449666667
fBodyAcc-mean()-X,WALKING,5,-0.287782607410714
fBodyAcc-mean()-X,WALKING,6,-0.187934323140351
fBodyAcc-mean()-X,WALKING,7,-0.343048405789474
fBodyAcc-mean()-X,WALKING,8,-0.247389011875
fBodyAcc-mean()-X,WALKING,9,-0.294711163653846
fBodyAcc-mean()-X,WALKING,10,-0.114190001283019
fBodyAcc-mean()-X,WALKING,11,-0.396533731864407
fBodyAcc-mean()-X,WALKING,12,-0.05435763951
fBodyAcc-mean()-X,WALKING,13,-0.335030121052632
fBodyAcc-mean()-X,WALKING,14,-0.421498172542373
fBodyAcc-mean()-X,WALKING,15,-0.31744092037037
fBodyAcc-mean()-X,WALKING,16,-0.394790433529412
fBodyAcc-mean()-X,WALKING,17,-0.360991674918033
fBodyAcc-mean()-X,WALKING,18,-0.37147515625
fBodyAcc-mean()-X,WALKING,19,-0.0299815666923077
fBodyAcc-mean()-X,WALKING,20,-0.147404272166667
fBodyAcc-mean()-X,WALKING,21,-0.273496158519231
fBodyAcc-mean()-X,WALKING,22,-0.0994928588891304
fBodyAcc-mean()-X,WALKING,23,-0.275404187920339
